ISIN,Name,BSE,NSE,Fair Value,Industry
INE328C01013,UB Engineering Limited,509992,UBENGG,10,Construction And Engineering
INE696A01025,United Breweries (Holdings) Limited,507458,UBHOLDINGS,10,Investment Companies
INE686F01025,United Breweries Limited,532478,UBL,1,Breweries And Distilleries
INE139B01016,Ucal Fuel Systems Limited,500464,UCALFUEL,10,Auto Parts And Equipment
INE691A01018,UCO Bank,532505,UCOBANK,10,Banks
INE516A01017,UFLEX Limited,500148,UFLEX,10,Containers And Packaging
INE071E01023,The Ugar Sugar Works Limited,530363,UGARSUGAR,1,Sugar
INE899L01022,Ujaas Energy Limited,533644,UJAAS,1,Heavy Electrical Equipment
INE481G01011,UltraTech Cement Limited,532538,ULTRACEMCO,10,Cement And Cement Products
INE240C01028,Usha Martin Education & Solutions Limited,532398,UMESLTD,1,IT Software Products
INE351A01035,Unichem Laboratories Limited,506690,UNICHEMLAB,2,Pharmaceuticals
INE037A01022,Uniphos Enterprises Limited,500429,UNIENTER,2,Comm.Trading  And Distribution
INE692A01016,Union Bank of India,532477,UNIONBANK,10,Banks
INE950G01015,Uniply Industries Limited,532646,UNIPLY,10,Forest Products
INE694A01020,Unitech Limited,507878,UNITECH,2,Realty
INE695A01019,United Bank of India,533171,UNITEDBNK,10,Banks
INE466H01028,Unity Infraprojects Limited,532746,UNITY,2,Construction And Engineering
INE279A01012,Universal Cables Limited,504212,UNIVCABLES,10,Other Elect.Equip./ Prod.
INE018B01012,Upper Ganges Sugar & Industries Limited,530505,UPERGANGES,10,Sugar
INE628A01036,UPL Limited,512070,UPL,2,Agrochemicals
INE228A01035,Usha Martin Limited,517146,USHAMART,1,Iron And Steel Products
INE235G01011,Usher Agro Limited,532765,USHERAGRO,10,Other Agricultural Products
INE699A01011,Uttam Galva Steels Limited,513216,UTTAMSTL,10,Iron And Steel/Interm.Products
INE786F01031,Uttam Sugar Mills Limited,532729,UTTAMSUGAR,10,Sugar
INE292A01015,Uttam Value Steels Limited,500254,UTTAMVALUE,10,Iron And Steel/Interm.Products
INE945H01013,V2 Retail Limited,532867,V2RETAIL,10,Department Stores
INE694D01016,Vadilal Industries Limited,519156,VADILALIND,10,Packaged Foods
INE884A01019,Vaibhav Global Limited,532156,VAIBHAVGBL,10,Internet And Catalogue Retail
INE051B01021,VAKANGEE LIMITED,511431,VAKRANGEE,1,BPO/KPO
INE624C01015,Valecha Engineering Limited,532389,VALECHAENG,10,Construction And Engineering
INE352A01017,Value Industries Limited,500945,VALUEIND,10,Household Appliances
INE835A01011,Vardhman Polytex Limited,514175,VARDMNPOLY,10,Textiles
INE032G01012,Varun Industries Limited,532917,VARUN,10,Houseware
INE702A01013,Varun Shipping Company Limited,500465,VARUNSHIP,10,Shipping
INE893I01013,Vascon Engineers Limited,533156,VASCONEQ,10,Realty
INE590L01019,Vaswani Industries Limited,533576,VASWANI,10,Iron And Steel/Interm.Products
INE398A01010,Venky's (India) Limited,523261,VENKEYS,10,Packaged Foods
INE411B01019,Venus Remedies Limited,526953,VENUSREM,10,Pharmaceuticals
INE386A01015,Vesuvius India Limited,520113,VESUVIUS,10,Other Industrial Goods
INE951I01019,V-Guard Industries Limited,532953,VGUARD,10,Other Elect.Equip./ Prod.
INE701A01023,Vardhman Holdings Limited,500439,VHL,10,Finance (including NBFCs)
INE048C01017,Viceroy Hotels Limited,523796,VICEROY,10,Hotels
INE703A01011,Videocon Industries Limited,511389,VIDEOIND,10,Consumer Electronics
INE705A01016,Vijaya Bank,532401,VIJAYABANK,10,Banks
INE806F01011,Vijay Shanthi Builders Limited,523724,VIJSHAN,10,Realty
INE806A01020,Vikas GlobalOne Limited,530961,VIKASGLOB,1,Specialty Chemicals
INE067D01015,Vimal Oil & Foods Limited,519373,VIMALOIL,10,Edible Oils
INE579C01029,Vimta Labs Limited,524394,VIMTALABS,2,Healthcare Services
INE410B01029,Vinati Organics Limited,524200,VINATIORGA,2,Specialty Chemicals
INE707A01012,Vindhya Telelinks Limited,517015,VINDHYATEL,10,Telecom Cables
INE250B01029,Vinyl Chemicals (India) Limited,524129,VINYLINDIA,1,Fibres And Plastics
INE054A01027,VIP Industries Limited,507880,VIPIND,2,Other Apparels And Accessories
INE946H01037,Vipul Limited,511726,VIPUL,1,Realty
INE392A01013,Visaka Industries Limited,509055,VISAKAIND,10,Cement And Cement Products
INE286H01012,Visa Steel Limited,532721,VISASTEEL,10,Iron And Steel/Interm.Products
INE861A01058,Visesh Infotecnics Limited,532411,VISESHINFO,1,IT Software Products
INE965A01016,Visu International Limited,590038,VISUINTL,10,IT Software Products
INE370E01029,Visagar Polytex Limited,506146,VIVIDHA,1,Textiles
INE526G01013,Vivimed Labs Limited,532660,VIVIMEDLAB,10,Pharmaceuticals
INE213M01024,VKS Projects Limited,534567,VKSPL,1,Construction And Engineering
INE709A01018,VLS Finance Limited,511333,VLSFINANCE,10,Other Financial Services
INE665J01013,V-Mart Retail Limited,534976,VMART,10,Department Stores
INE665J01013,V-Mart Retail Limited,534976,VMART,10,Department Stores
INE540H01012,Voltamp Transformers Limited,532757,VOLTAMP,10,Heavy Electrical Equipment
INE540H01012,Voltamp Transformers Limited,532757,VOLTAMP,10,Heavy Electrical Equipment
INE226A01021,Voltas Limited,500575,VOLTAS,1,Construction And Engineering
INE050M01012,Vardhman Special Steels Limited,534392,VSSL,10,Iron And Steel Products
INE710A01016,VST Industries Limited,509966,VSTIND,10,Cigarettes-Tobacco Products
INE764D01017,V.S.T Tillers Tractors Limited,531266,VSTTILLERS,10,Commercial Vehicles
INE825A01012,Vardhman Textiles Limited,502986,VTL,10,Textiles
INE222F01029,VTM Limited,532893,VTMLTD,1,Textiles
INE119G01025,VTX Industries Limited,532824,VTXIND,10,Textiles
INE956G01038,VA Tech Wabag Limited,533269,WABAG,2,Utilities:Non-Elec.
INE342J01019,WABCO India Limited,533023,WABCOINDIA,5,Auto Parts And Equipment
INE711A01022,Walchandnagar Industries Limited,507410,WALCHANNAG,2,Construction And Engineering
INE107F01022,Wanbury Limited,524212,WANBURY,10,Pharmaceuticals
INE855C01015,Websol Energy System Limited,517498,WEBELSOLAR,10,Other Elect.Equip./ Prod.
INE726L01019,Weizmann Forex Limited,533452,WEIZFOREX,10,Other Financial Services
INE080A01014,Weizmann Limited,523011,WEIZMANIND,10,Comm.Trading  And Distribution
INE191B01025,Welspun Corp Limited,532144,WELCORP,5,Construction And Engineering
INE072P01019,Welspun Enterprises Limited,538538,WELENTRP,10,0
INE389K01018,Welspun Investments and Commercials Limited,533252,WELINV,10,Other Financial Services
INE625G01013,Welspun Projects Limited,532553,WELPROJ,10,Construction And Engineering
INE192B01023,Welspun India Limited,514162,WELSPUNIND,10,Textiles
INE274C01019,Wendt (India) Limited,505412,WENDT,10,Industrial Machinery
INE715A01015,Wheels India Limited,590073,WHEELS,10,Auto Parts And Equipment
INE716A01013,Whirlpool of India Limited,500238,WHIRLPOOL,10,Consumer Electronics
INE210A01017,Williamson Magor & Company Limited,519224,WILLAMAGOR,10,Comm.Trading  And Distribution
INE052A01021,Windsor Machines Limited,522029,WINDMACHIN,2,Industrial Machinery
INE784B01035,Winsome Yarns Limited,514348,WINSOME,10,Textiles
INE664A01015,Winsome Diamonds and Jewellery Limited,507892,WINSOMEDJ,10,Other Apparels And Accessories
INE075A01022,Wipro Limited,507685,WIPRO,2,IT Consulting And Software
INE049B01025,Wockhardt Limited,532300,WOCKPHARMA,5,Pharmaceuticals
INE066O01014,Wonderla Holidays Limited,538268,WONDERLA,10,Other Leisure Facilities
INE100D01014,W S Industries (I) Limited,504220,WSI,10,Industrial Machinery
INE976A01021,West Coast Paper Mills Limited,500444,WSTCSTPAPR,2,Paper And Paper Products
INE378A01012,Wyeth Limited,500095,WYETH,10,Pharmaceuticals
INE692G01013,Xchanging Solutions Limited,532616,XCHANGING,10,BPO/KPO
INE183H01011,XL Energy Limited,532788,XLENERGY,10,Telecom Equipment
INE445C01015,Xpro India Limited,590013,XPROINDIA,10,Commodity Chemicals
INE528G01019,Yes Bank Limited,532648,YESBANK,10,Banks
INE528G01019,Yes Bank Limited,532648,YESBANK,10,Banks
INE719A01017,Zandu Realty Limited,506720,ZANDUREALT,100,Realty
INE256A01028,Zee Entertainment Enterprises Limited,505537,ZEEL,1,Broadcasting And Cable TV
INE565L01011,Zee Learn Limited,533287,ZEELEARN,1,Education
INE966H01019,Zee Media Corporation Limited,532794,ZEEMEDIA,1,Broadcasting And Cable TV
INE318D01020,Zenith Birla (India) Limited,531845,ZENITHBIR,10,Construction And Engineering
INE598B01013,Zenith Computers Limited,517164,ZENITHCOMP,10,Computer Hardware
INE058B01018,Zenith Exports Limited,512553,ZENITHEXPO,10,Textiles
INE899A01017,Zenith Infotech Limited,532298,ZENITHINFO,10,IT Software Products
INE520A01019,Zensar Technologies Limited,504067,ZENSARTECH,10,IT Consulting And Software
INE871B01014,Zicom Electronic Security Systems Limited,531404,ZICOM,10,Electronic Components
INE206B01013,Zodiac Clothing Company Limited,521163,ZODIACLOTH,10,Other Apparels And Accessories
INE077B01018,Zodiac JRD- MKJ Limited,512587,ZODJRDMKJ,10,Other Apparels And Accessories
INE840M01016,Zuari Agro Chemicals Limited,534742,ZUARI,10,Fertilizers
INE217A01012,ZUARI GLOBAL LIMITED,500780,ZUARIGLOB,10,Fertilizers
INE768C01010,Zydus Wellness Limited,531335,ZYDUSWELL,10,Packaged Foods
INE225I01026,Zylog Systems Limited,532883,ZYLOG,5,IT Software Products
