ISIN,Name,BSE,NSE,Fair Value,Industry
INE062A01012,State Bank of India,500112,SBIN,10,Banks
INE654A01024,State Bank of Travancore,532191,SBT,10,Banks
INE839M01018,Schneider Electric Infrastructure Limited,534139,SCHNEIDER,2,Heavy Electrical Equipment
INE109A01011,Shipping Corporation Of India Limited,523598,SCI,10,Shipping
INE480C01012,Som Distilleries & Breweries Limited,507514,SDBL,10,Breweries And Distilleries
INE497B01018,Seamec Limited,526807,SEAMECLTD,10,Shipping
INE420C01042,S.E. Investments Limited,532900,SEINV,10,Finance (including NBFCs)
INE818A01017,Selan Exploration Technology Limited,530075,SELAN,10,Exploration And Production
INE105I01012,SEL Manufacturing Company Limited,532886,SELMCL,10,Textiles
INE735M01018,S.E. Power Limited,534598,SEPOWER,10,Electric Utilities
INE431L01016,Servalakshmi Paper Limited,533401,SERVALL,10,Paper And Paper Products
INE630A01016,Seshasayee Paper and Boards Limited,502450,SESHAPAPER,10,Paper And Paper Products
INE955I01036,Sezal Glass Limited,532993,SEZAL,10,Construction Materials
INE935O01010,Star Ferro and Cement Limited,536666,SFCL,1,Iron And Steel/Interm.Products
INE883G01018,Shree Ganesh Forgings Limited,532643,SGFL,10,Other Industrial Products
INE553K01019,SHREE GANESH JEWELLERY HOUSE (I) LIMITED,533180,SGJHL,10,Other Apparels And Accessories
INE353H01010,STL Global Limited,532730,SGL,10,Textiles
INE640C01011,Shah Alloys Limited,513436,SHAHALLOYS,10,Iron And Steel/Interm.Products
INE908D01010,Shakti Pumps (India) Limited,531431,SHAKTIPUMP,10,Industrial Machinery
INE849C01026,Shalimar Paints Limited,509874,SHALPAINTS,2,Furniture-Furnishing-Paints
INE631A01022,Shanthi Gears Limited,522034,SHANTIGEAR,1,Auto Parts And Equipment
INE221J01015,Sharda Cropchem Limited,538666,SHARDACROP,10,Agrochemicals
INE028B01029,Sharon Bio-Medicine Limited,532908,SHARONBIO,2,Pharmaceuticals
INE317A01028,Shasun Pharmaceuticals Limited,524552,SHASUNPHAR,2,Pharmaceuticals
INE363M01019,Shemaroo Entertainment Limited,538685,SHEMAROO,10,Movies And Entertainment
INE790G01023,Shilpa Medicare Limited,530549,SHILPAMED,2,Pharmaceuticals
INE510K01019,Shilpi Cable Technologies Limited,533389,SHILPI,10,Other Elect.Equip./ Prod.
INE196B01016,Shirpur Gold Refinery Limited,512289,SHIRPUR-G,10,Other Non-Ferrous Metals
INE756B01017,Shiv-Vani Oil & Gas Exploration Services Limited,522175,SHIV-VANI,10,Exploration And Production
INE637H01016,Shivam Autotech Limited,532776,SHIVAMAUTO,10,Auto Parts And Equipment
INE705C01012,Shiva Texyarn Limited,511108,SHIVTEX,10,Textiles
INE851B01016,Shri Lakshmi Cotsyn Limited,526049,SHLAKSHMI,10,Textiles
INE498B01024,Shoppers Stop Limited,532638,SHOPERSTOP,5,Department Stores
INE070A01015,Shree Cements Limited,500387,SHREECEM,10,Cement And Cement Products
INE879A01019,Shree Rama Multi-Tech Limited,532310,SHREERAMA,5,Containers And Packaging
INE633A01028,Shrenuj & Company Limited,523236,SHRENUJ,2,Other Apparels And Accessories
INE231C01019,Shreyans Industries Limited,516016,SHREYANIND,10,Paper And Paper Products
INE757B01015,Shreyas Shipping & Logistics Limited,520151,SHREYAS,10,Shipping
INE900K01012,SHRI ASTER SILICATES LIMITED,533219,SHRIASTER,10,Commodity Chemicals
INE722A01011,Shriram City Union Finance Limited,532498,SHRIRAMCIT,10,Finance (including NBFCs)
INE964H01014,Shriram EPC Limited,532945,SHRIRAMEPC,10,Construction And Engineering
INE635A01023,Shyam Telecom Limited,517411,SHYAMTEL,10,Telecom Equipment
INE176J01011,Sicagen India Limited,533014,SICAGEN,10,Comm.Trading  And Distribution
INE075B01012,Sical Logistics Limited,520086,SICAL,10,Transportation - Logistics
INE003A01024,Siemens Limited,500550,SIEMENS,2,Heavy Electrical Equipment
